grupo_barrio,barrio,latitud,longitud,tipo_habitacion,precio,minimo_noches,cantidad_resenas,resenas_por_mes,cantidad_alojamientos_anfitrion,disponibilidad_anual
17.0,80.0,40.41476,-3.70418,4,157.0,5,173,0.93,17,342
17.0,66.0,40.42247,-3.70577,4,143.0,5,53,0.29,17,341
17.0,77.0,40.41884,-3.69655,3,65.0,1,249,2.78,3,299
17.0,66.0,40.42252,-3.7025,4,116.0,30,36,0.21,4,305
17.0,66.0,40.42252,-3.7025,4,79.0,30,31,0.18,4,317
17.0,76.0,40.41143,-3.70912,3,45.0,1,402,2.35,1,116
12.0,54.0,40.45575,-3.64912,3,90.0,1,52,0.32,2,336
17.0,66.0,40.4257,-3.70383,3,60.0,2,72,0.58,1,257
17.0,61.0,40.41319,-3.7024,3,120.0,3,223,1.31,1,34
17.0,79.0,40.4152,-3.69668,4,160.0,5,107,0.63,1,43
17.0,66.0,40.42116,-3.70384,4,98.0,15,374,2.19,2,319
12.0,27.0,40.45959,-3.64699,3,68.0,2,234,1.39,1,308
17.0,61.0,40.4131,-3.70086,4,117.0,5,79,0.47,2,42
17.0,61.0,40.4078,-3.70085,4,58.0,10,563,3.32,2,291
17.0,61.0,40.41175,-3.70021,4,70.0,2,97,0.6,2,285
17.0,80.0,40.41428,-3.70767,4,138.0,3,224,1.36,7,140
13.0,49.0,40.39627,-3.69926,4,100.0,4,88,0.58,1,125
17.0,66.0,40.42377853393555,-3.702780961990357,4,144.0,2,682,4.05,1,208
12.0,54.0,40.47142,-3.62881,4,114.0,2,163,1.02,2,128
17.0,76.0,40.41685,-3.70882,4,148.0,2,138,1.26,1,328
17.0,80.0,40.41849,-3.70743,3,139.0,4,191,1.3,21,301
17.0,77.0,40.42242,-3.69562,4,84.0,5,71,0.43,1,199
17.0,66.0,40.42838,-3.70345,4,90.0,25,151,0.92,2,14
17.0,79.0,40.41285,-3.69553,4,157.0,3,216,1.32,1,85
17.0,61.0,40.41015,-3.69797,4,95.0,5,54,0.33,2,158
16.0,78.0,40.40988,-3.67503,4,115.0,2,319,1.95,1,105
17.0,80.0,40.41676,-3.70682,3,70.0,2,658,4.02,1,271
17.0,76.0,40.41944,-3.70945,4,110.0,2,188,1.16,1,30
17.0,61.0,40.41115,-3.69673,4,70.0,4,44,0.31,3,209
17.0,80.0,40.4149,-3.70331,4,144.0,3,253,1.66,75,135
17.0,66.0,40.42552,-3.70589,4,117.0,3,109,0.85,75,110
18.0,68.0,40.42978,-3.67817,3,27.0,4,215,1.32,1,188
17.0,61.0,40.41281,-3.70749,4,94.0,3,126,0.8,75,107
17.0,77.0,40.42849,-3.70183,4,64.0,4,497,3.06,1,154
17.0,80.0,40.41592,-3.70177,4,129.0,3,149,1.11,75,119
17.0,76.0,40.41941,-3.70823,4,139.0,3,82,0.62,75,115
17.0,80.0,40.41628,-3.70364,4,126.0,3,213,1.35,75,122
9.0,43.0,40.43202,-3.60353,3,91.0,1,33,0.2,2,89
17.0,79.0,40.41155,-3.69492,3,50.0,3,185,1.62,1,228
10.0,61.0,40.44117,-3.64841,4,119.0,1,742,6.35,1,24
17.0,66.0,40.42323,-3.70434,4,114.0,15,54,0.34,5,271
17.0,79.0,40.41412,-3.70057,3,101.0,1,21,0.21,1,356
17.0,61.0,40.41327,-3.70223,3,93.0,2,609,3.86,1,255
17.0,80.0,40.41604,-3.70834,4,127.0,2,913,5.66,1,273
17.0,66.0,40.42286,-3.70236,3,70.0,4,603,3.82,1,2
16.0,64.0,40.45841,-3.67598,3,38.0,7,100,0.67,2,105
17.0,79.0,40.41309,-3.69775,3,53.0,3,426,2.65,1,279
18.0,82.0,40.42296831342578,-3.690953727258608,4,117.0,1,46,0.32,29,301
6.0,7.0,40.36725,-3.68875,3,48.0,5,105,0.66,1,238
13.0,60.0,40.40661,-3.6952,4,99.0,3,116,0.78,2,35
3.0,26.0,40.40743,-3.74293,3,29.0,10,295,1.86,3,117
